model,precision,recall,f1,event_recall,mean_ttd_min,median_ttd_min,false_alert_minutes,detected_events,total_events
oneclass_svm,0.045137442732194916,1.0,0.0863760896637609,1.0,0.0,0.0,18341.0,4,4
isolation_forest,0.04535179429217293,0.740484429065744,0.08546894761365907,1.0,2.5,0.0,13514.0,4,4
local_outlier_factor,0.044054878048780485,1.0,0.08439188202657323,1.0,0.0,0.0,18813.0,4,4
baseline_rolling_zscore_streaming,0.0851063829787234,0.02306805074971165,0.036297640653357534,1.0,7.5,0.0,215.0,4,4
